generation,candidate,score,mean_mse,std_mse,mean_energy,is_best
0,0,-0.015412743203341961,0.015412743203341961,4.396055737743154e-05,0.10342308133840561,1
0,1,-0.0154191879555583,0.0154191879555583,1.9605329725891352e-05,0.12309307605028152,1
0,2,-0.01540860254317522,0.01540860254317522,2.1929701688350178e-05,0.08546068519353867,1
0,3,-0.015402515418827534,0.015402515418827534,2.6377103495178744e-05,0.11182045936584473,1
0,4,-0.015422078780829906,0.015422078780829906,3.862722678604769e-06,0.081516794860363,1
0,5,-0.015421775169670582,0.015421775169670582,1.989508564292919e-05,0.10131236910820007,1
0,6,-0.015463422052562237,0.015463422052562237,0.00014169143105391413,0.11745049804449081,1
0,7,-0.019837701693177223,0.019837701693177223,0.0025964914821088314,0.2007974535226822,1
0,8,-0.015449002385139465,0.015449002385139465,3.8032321754144505e-05,0.10017320513725281,1
0,9,-0.015427534468472004,0.015427534468472004,1.0618790838634595e-05,0.09769029170274734,1
0,10,-0.0154471630230546,0.0154471630230546,1.6910793419810943e-05,0.0694444328546524,1
0,11,-0.015419703908264637,0.015419703908264637,1.6962507288553752e-05,0.10717365145683289,1
1,0,-0.015414032153785229,0.015414032153785229,2.487731762812473e-05,0.09989847987890244,0
1,1,-0.01542647648602724,0.01542647648602724,8.850312951835804e-06,0.0694444328546524,0
1,2,-0.015417829155921936,0.015417829155921936,2.238694651168771e-05,0.1058822050690651,0
1,3,-0.01543674897402525,0.01543674897402525,1.919995884236414e-05,0.08130341023206711,0
1,4,-0.015431341715157032,0.015431341715157032,2.636175850057043e-05,0.09197530895471573,0
1,5,-0.015452424995601177,0.015452424995601177,4.6685265260748565e-05,0.10323473811149597,0
1,6,-0.015561905689537525,0.015561905689537525,0.00012188332038931549,0.12094374746084213,0
1,7,-0.015435274690389633,0.015435274690389633,1.4223194739315659e-05,0.08472160249948502,0
1,8,-0.01543139386922121,0.01543139386922121,1.958972825377714e-05,0.10721022635698318,0
1,9,-0.015476363711059093,0.015476363711059093,0.00010810681123984978,0.10813038796186447,0
1,10,-0.015438809059560299,0.015438809059560299,2.4333536202902906e-05,0.0694444328546524,0
1,11,-0.015521756373345852,0.015521756373345852,5.932390195084736e-06,0.09928718209266663,0
2,0,-0.015434366650879383,0.015434366650879383,1.8619164620758966e-05,0.09985319525003433,0
2,1,-0.015417703427374363,0.015417703427374363,2.1949972506263293e-05,0.10322681069374084,0
2,2,-0.015432332642376423,0.015432332642376423,1.3466233212966472e-05,0.0694444328546524,0
2,3,-0.11675635725259781,0.11675635725259781,0.014386373572051525,0.20590651035308838,0
2,4,-0.015426131896674633,0.015426131896674633,2.04892367037246e-05,0.0694444328546524,0
2,5,-0.015439681708812714,0.015439681708812714,1.7461728930356912e-05,0.09378763288259506,0
2,6,-0.01541941612958908,0.01541941612958908,2.263946043967735e-05,0.08991899341344833,0
2,7,-0.015428013168275356,0.015428013168275356,1.1093258763139602e-05,0.0694444328546524,0
2,8,-0.015421408228576183,0.015421408228576183,1.3274549019115511e-05,0.10801428556442261,0
2,9,-0.015435888431966305,0.015435888431966305,2.4665558157721534e-05,0.08864164352416992,0
2,10,-0.015448520891368389,0.015448520891368389,2.0375851818243973e-05,0.10735180228948593,0
2,11,-0.015447172336280346,0.015447172336280346,1.6910318663576618e-05,0.0694444328546524,0
3,0,-0.01542995497584343,0.01542995497584343,1.0276286047883332e-05,0.0976431593298912,0
3,1,-0.015424861572682858,0.015424861572682858,2.3493474145652726e-05,0.08147694915533066,0
3,2,-0.015477821230888367,0.015477821230888367,0.00018571157124824822,0.14730922877788544,0
3,3,-0.015417003072798252,0.015417003072798252,1.984261689358391e-05,0.11897802352905273,0
3,4,-0.01542181521654129,0.01542181521654129,2.0013620087411255e-05,0.11292490363121033,0
3,5,-0.015434719622135162,0.015434719622135162,1.2900341062049847e-05,0.09788483381271362,0
3,6,-0.015409894287586212,0.015409894287586212,1.677193540672306e-05,0.08233717083930969,0
3,7,-0.015435268171131611,0.015435268171131611,1.735011574055534e-05,0.10473782569169998,0
3,8,-0.015425858087837696,0.015425858087837696,2.06565746339038e-05,0.08977264165878296,0
3,9,-0.01543199922889471,0.01543199922889471,1.2372692253848072e-05,0.09858068078756332,0
3,10,-0.015432794578373432,0.015432794578373432,1.3394621419138275e-05,0.10444433242082596,0
3,11,-0.015428245067596436,0.015428245067596436,1.0318332897440996e-05,0.0694444328546524,0
4,0,-0.01672591082751751,0.01672591082751751,0.0006266986019909382,0.1207813024520874,0
4,1,-0.01562412828207016,0.01562412828207016,6.434090755647048e-05,0.12810300290584564,0
4,2,-0.015409695915877819,0.015409695915877819,2.4914348614402115e-05,0.09537879377603531,0
4,3,-0.019490065053105354,0.019490065053105354,0.0012767404550686479,0.1496787667274475,0
4,4,-0.015440352261066437,0.015440352261066437,1.7306960216956213e-05,0.09454552084207535,0
4,5,-0.015421871095895767,0.015421871095895767,2.2491392883239314e-05,0.11980976909399033,0
4,6,-0.01547982543706894,0.01547982543706894,5.866415813216008e-05,0.09380690008401871,0
