generation,candidate,score,mean_mse,std_mse,min_mse,max_mse,mean_energy,is_best
0,0,-0.0020528954919427633,0.0020528954919427633,9.193591722578276e-06,0.0020401193760335445,0.0020613716915249825,0.2250271886587143,1
0,1,-0.0630287304520607,0.0630287304520607,6.200349162099883e-05,0.06297251582145691,0.06311511993408203,0.33577072620391846,1
0,2,-0.058018267154693604,0.058018267154693604,5.935523586231284e-05,0.05796440318226814,0.058100953698158264,0.21296195685863495,1
0,3,-0.02659003995358944,0.02659003995358944,3.1123920052777976e-05,0.026561178267002106,0.02663325145840645,0.15202754735946655,1
0,4,-0.05835438147187233,0.05835438147187233,5.616841008304618e-05,0.058306097984313965,0.05843314900994301,0.24288076162338257,1
0,5,-0.0630481094121933,0.0630481094121933,6.200920324772596e-05,0.06299188733100891,0.06313450634479523,0.2952845096588135,1
0,6,-0.05833088234066963,0.05833088234066963,5.508660979103297e-05,0.05828504264354706,0.058408353477716446,0.3535410165786743,1
0,7,-0.0031372159719467163,0.0031372159719467163,1.1773367077694274e-05,0.0031270256731659174,0.0031537143513560295,0.23374386131763458,1
1,0,-0.0008946452289819717,0.0008946452289819717,5.148956915945746e-06,0.0008878092048689723,0.0009002356673590839,0.26166602969169617,1
1,1,-0.05829061195254326,0.05829061195254326,5.508496906259097e-05,0.058244746178388596,0.058368079364299774,0.33818188309669495,0
1,2,-0.06306452304124832,0.06306452304124832,5.756124301115051e-05,0.0630170926451683,0.06314553320407867,0.29093948006629944,0
1,3,-0.046686578541994095,0.046686578541994095,4.1620656702434644e-05,0.04665243625640869,0.0467451736330986,0.06981541961431503,0
1,4,-0.058222901076078415,0.058222901076078415,5.609701474895701e-05,0.05817466229200363,0.05830156058073044,0.3722609579563141,0
1,5,-0.06307312101125717,0.06307312101125717,5.756823156843893e-05,0.06302569061517715,0.06315414607524872,0.25345805287361145,0
1,6,-0.06308317184448242,0.06308317184448242,6.0698770539602265e-05,0.063028983771801,0.06316792219877243,0.40480008721351624,0
1,7,-0.002025427995249629,0.002025427995249629,5.669672646035906e-06,0.002019956475123763,0.00203323969617486,0.22982268035411835,1
2,0,-0.017298616468906403,0.017298616468906403,8.825222721497994e-06,0.01729005202651024,0.01731076091527939,0.09364444017410278,0
2,1,-0.06309216469526291,0.06309216469526291,6.202771328389645e-05,0.06303592771291733,0.06317858397960663,0.22387754917144775,0
2,2,-0.05807511508464813,0.05807511508464813,5.837847129441798e-05,0.05802248418331146,0.058156516402959824,0.279598206281662,0
2,3,-0.0033283878583461046,0.0033283878583461046,1.1988078767899424e-05,0.003318449482321739,0.0033452522475272417,0.19688887894153595,0
2,4,-0.06306551396846771,0.06306551396846771,6.080445018596947e-05,0.06301113963127136,0.06315039098262787,0.21951071918010712,0
2,5,-0.06302807480096817,0.06302807480096817,6.191556894918904e-05,0.06297197937965393,0.06311435252428055,0.34859776496887207,0
2,6,-0.05816912651062012,0.05816912651062012,5.750160198658705e-05,0.05811801925301552,0.05824945867061615,0.2974051237106323,0
2,7,-0.03763892129063606,0.03763892129063606,1.7485441276221536e-05,0.03762099891901016,0.03766263648867607,0.12048760801553726,0
3,0,-0.0030036407988518476,0.0030036407988518476,1.197023539134534e-05,0.0029869102872908115,0.0030142408795654774,0.2105642557144165,0
3,1,-0.058008354157209396,0.058008354157209396,5.93471122556366e-05,0.057954490184783936,0.05809102579951286,0.3118870258331299,0
3,2,-0.0630275160074234,0.0630275160074234,6.200920324772596e-05,0.06297129392623901,0.06311391294002533,0.2983839809894562,0
3,3,-0.06314697116613388,0.06314697116613388,5.758801125921309e-05,0.06309953331947327,0.06322801858186722,0.3821142613887787,0
3,4,-0.004765015095472336,0.004765015095472336,1.156978487415472e-05,0.004749266896396875,0.00477673439309001,0.1255989521741867,0
3,5,-0.06303108483552933,0.06303108483552933,6.101811959524639e-05,0.06297633051872253,0.06311622262001038,0.34263864159584045,0
3,6,-0.0630367174744606,0.0630367174744606,6.200920324772596e-05,0.06298049539327621,0.06312311440706253,0.28911858797073364,0
3,7,-0.06311428546905518,0.06311428546905518,6.203688826644793e-05,0.063058041036129,0.06320071965456009,0.24797354638576508,0
4,0,-0.0023995989467948675,0.0023995989467948675,1.035083823808236e-05,0.002391269663348794,0.0024141883477568626,0.24108916521072388,0
4,1,-0.06306082010269165,0.06306082010269165,5.901316035306081e-05,0.06300999969244003,0.06314355880022049,0.34002313017845154,0
