generation,candidate,score,mean_mse,std_mse,min_mse,max_mse,mean_energy,is_best
0,0,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2745257318019867,1
0,1,-0.28489282727241516,0.28489282727241516,1.5524883565376513e-06,0.2848917245864868,0.28489503264427185,0.25014960765838623,1
0,2,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2556368410587311,1
0,3,-0.2846592366695404,0.2846592366695404,6.780710464227013e-07,0.2846583127975464,0.2846599519252777,0.23892591893672943,1
0,4,-0.23661524057388306,0.23661524057388306,0.0,0.23661524057388306,0.23661524057388306,0.30970507860183716,1
0,5,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2945575416088104,1
0,6,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.32101210951805115,1
0,7,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.39901217818260193,1
1,0,-0.28656408190727234,0.28656408190727234,9.42432194506182e-08,0.2865639328956604,0.2865641415119171,0.27300140261650085,0
1,1,-0.11969248205423355,0.11969248205423355,0.0,0.11969248205423355,0.11969248205423355,0.31917235255241394,1
1,2,-0.2868099510669708,0.2868099510669708,7.500086951495177e-08,0.28680986166000366,0.286810040473938,0.29473865032196045,0
1,3,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.3680073916912079,0
1,4,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.19394494593143463,0
1,5,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.30025818943977356,0
1,6,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.35153746604919434,0
1,7,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.22362880408763885,0
2,0,-0.11969251185655594,0.11969251185655594,0.0,0.11969251185655594,0.11969251185655594,0.297101765871048,0
2,1,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2817147374153137,0
2,2,-0.1824588030576706,0.1824588030576706,1.2532044593172031e-06,0.1824571192264557,0.18246012926101685,0.3328638970851898,0
2,3,-0.19425563514232635,0.19425563514232635,1.4901161193847656e-08,0.19425562024116516,0.19425562024116516,0.0694444328546524,0
2,4,-0.1941949725151062,0.1941949725151062,8.603189272093914e-09,0.1941949725151062,0.1941949874162674,0.25976020097732544,0
2,5,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.3486606776714325,0
2,6,-0.11798369884490967,0.11798369884490967,8.603189272093914e-09,0.11798368394374847,0.11798369884490967,0.2840801179409027,1
2,7,-0.1950482726097107,0.1950482726097107,0.0,0.1950482726097107,0.1950482726097107,0.32768404483795166,0
3,0,-0.11324691027402878,0.11324691027402878,7.450580596923828e-09,0.11324690282344818,0.11324691772460938,0.2875122129917145,1
3,1,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2389642745256424,0
3,2,-0.2873828113079071,0.2873828113079071,4.064494874000957e-07,0.2873823642730713,0.2873833477497101,0.2985898554325104,0
3,3,-0.09730304032564163,0.09730304032564163,2.0038230275076785e-07,0.09730276465415955,0.09730321913957596,0.32701411843299866,1
3,4,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.24794340133666992,0
3,5,-0.19419391453266144,0.19419391453266144,1.4901161193847656e-08,0.19419392943382263,0.19419392943382263,0.4006596803665161,0
3,6,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.31131091713905334,0
3,7,-0.11919215321540833,0.11919215321540833,0.0,0.11919215321540833,0.11919215321540833,0.29585450887680054,0
4,0,-0.09817415475845337,0.09817415475845337,1.7531307605622715e-07,0.09817390143871307,0.09817429631948471,0.30891188979148865,0
4,1,-0.19505149126052856,0.19505149126052856,0.0,0.19505149126052856,0.19505149126052856,0.2674964964389801,0
4,2,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.25252702832221985,0
4,3,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.22931112349033356,0
4,4,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.24234648048877716,0
4,5,-0.11969389766454697,0.11969389766454697,7.450580596923828e-09,0.11969389021396637,0.11969389021396637,0.2975650131702423,0
4,6,-0.14745905995368958,0.14745905995368958,0.0,0.14745905995368958,0.14745905995368958,0.3080599009990692,0
4,7,-0.11921408027410507,0.11921408027410507,7.450580596923828e-09,0.11921407282352448,0.11921407282352448,0.36891213059425354,0
5,0,-0.11817853897809982,0.11817853897809982,0.0,0.11817853897809982,0.11817853897809982,0.3366363048553467,0
5,1,-0.11969389766454697,0.11969389766454697,7.450580596923828e-09,0.11969389021396637,0.11969389021396637,0.3645000159740448,0
5,2,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.35512229800224304,0
5,3,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.33466553688049316,0
5,4,-0.11921270936727524,0.11921270936727524,0.0,0.11921270936727524,0.11921270936727524,0.26420924067497253,0
5,5,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.3749200999736786,0
5,6,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.28049328923225403,0
5,7,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.3612930476665497,0
6,0,-0.11921343952417374,0.11921343952417374,7.450580596923828e-09,0.11921344697475433,0.11921344697475433,0.30355867743492126,0
6,1,-0.1950521022081375,0.1950521022081375,1.4901161193847656e-08,0.19505208730697632,0.1950521171092987,0.2550514042377472,0
6,2,-0.11921336501836777,0.11921336501836777,7.450580596923828e-09,0.11921335756778717,0.11921335756778717,0.30054882168769836,0
6,3,-0.11971497535705566,0.11971497535705566,8.603189272093914e-09,0.11971497535705566,0.11971499025821686,0.23967723548412323,0
6,4,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.16632598638534546,0
6,5,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.33577513694763184,0
6,6,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.24176591634750366,0
6,7,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.31938210129737854,0
7,0,-0.11921348422765732,0.11921348422765732,7.450580596923828e-09,0.11921347677707672,0.11921347677707672,0.3056377172470093,0
7,1,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2850225567817688,0
7,2,-0.11921339482069016,0.11921339482069016,0.0,0.11921339482069016,0.11921339482069016,0.3020399510860443,0
7,3,-0.1445469707250595,0.1445469707250595,1.2166747609398954e-08,0.14454695582389832,0.1445469856262207,0.29879316687583923,0
7,4,-0.20699983835220337,0.20699983835220337,5.196924917072465e-07,0.20699912309646606,0.20700033009052277,0.28528234362602234,0
7,5,-0.10160517692565918,0.10160517692565918,8.554617124900687e-06,0.10159417986869812,0.1016150414943695,0.23639744520187378,0
7,6,-0.2885066866874695,0.2885066866874695,2.7151207859787974e-07,0.2885064482688904,0.2885070741176605,0.36394283175468445,0
7,7,-0.457952618598938,0.457952618598938,0.0,0.457952618598938,0.457952618598938,0.2517656087875366,0
8,0,-0.11919176578521729,0.11919176578521729,0.0,0.11919176578521729,0.11919176578521729,0.2754432260990143,0
